,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,rev_clusters
78,2004,2734724.0,240120.0,874804.0,1619800.0,2667987.0,1471641.0,712199.0,109956.0,296377.0,1
79,2004,3069531.0,221488.0,1850655.0,997388.0,3228619.0,1544881.0,839920.0,99050.0,574726.0,1
80,2004,2194562.0,119354.0,968313.0,1106895.0,2236010.0,1195488.0,607041.0,64575.0,199297.0,1
81,2004,21398391.0,893414.0,8779155.0,11725822.0,21467607.0,10880932.0,6888193.0,744615.0,1970698.0,2
82,2004,2855893.0,492102.0,1989564.0,374227.0,2882631.0,1340535.0,913532.0,140297.0,443894.0,1
83,2004,40820776.0,3058888.0,17705556.0,20056332.0,42953568.0,25761741.0,10702312.0,1168325.0,3867760.0,2
84,2004,10569600.0,1019981.0,6115388.0,3434231.0,10263463.0,5585476.0,2870473.0,552701.0,943558.0,1
85,2004,925393.0,134759.0,336722.0,453912.0,957480.0,481403.0,249023.0,62816.0,97116.0,1
86,2004,18878773.0,1272090.0,8145107.0,9461576.0,19375400.0,9406363.0,6384403.0,811755.0,2139831.0,2
87,2004,4622080.0,593693.0,2360286.0,1668101.0,4400069.0,2141737.0,1450284.0,437723.0,320142.0,1
88,2004,5086083.0,460902.0,2658285.0,1966896.0,5393871.0,2498566.0,1559219.0,168704.0,486745.0,1
89,2004,21104028.0,1610741.0,7196172.0,12297115.0,22054811.0,10695295.0,6251075.0,859706.0,1941824.0,2
90,2004,1836758.0,132370.0,739698.0,964690.0,1745707.0,1034632.0,561479.0,68482.0,28171.0,1
91,2004,5961494.0,616660.0,2741127.0,2603707.0,6138231.0,2971895.0,1780063.0,332280.0,828530.0,1
92,2004,1007135.0,156117.0,343216.0,507802.0,1012096.0,521961.0,306877.0,44816.0,105677.0,1
93,2004,6349101.0,692353.0,2743825.0,2912923.0,6738601.0,3843346.0,1796619.0,356397.0,574810.0,1
94,2004,36055119.0,3782724.0,13201169.0,19071226.0,38150452.0,18291531.0,10509643.0,1798316.0,4812152.0,2
95,2004,2997200.0,299200.0,1654191.0,1043809.0,3066684.0,1552853.0,739158.0,224631.0,479463.0,1
96,2004,1525776.0,94546.0,801169.0,630061.0,1550157.0,700068.0,368208.0,34203.0,77287.0,1
97,2004,11151172.0,765353.0,4241483.0,6144336.0,11404055.0,6006830.0,3400515.0,456829.0,1125646.0,1
98,2004,8790531.0,749399.0,5416352.0,2624780.0,9009980.0,4446860.0,2579078.0,407707.0,1217468.0,1
99,2004,2585084.0,290752.0,1546921.0,747411.0,2603996.0,1458141.0,784602.0,168905.0,181816.0,1
100,2004,9183588.0,550729.0,4732025.0,3900834.0,9126345.0,4936038.0,2846939.0,361605.0,540870.0,1
101,2004,974888.0,95995.0,507155.0,371738.0,953916.0,483989.0,303976.0,28257.0,126574.0,1
102,2005,5889966.0,665924.0,3247562.0,1976480.0,5904664.0,3053380.0,1744013.0,462605.0,511944.0,1
103,2005,1599739.0,302846.0,878731.0,418162.0,1751718.0,829666.0,559084.0,55782.0,268700.0,1
104,2005,7550109.0,897553.0,3320196.0,3332360.0,7136794.0,3423716.0,2264931.0,351097.0,861286.0,1
105,2005,3978240.0,447012.0,2995788.0,535440.0,3999608.0,2118580.0,1173643.0,200865.0,393713.0,1
106,2005,62171797.0,7148863.0,34912166.0,20110768.0,66196072.0,31070450.0,18046385.0,3132465.0,10223657.0,0
107,2005,6910296.0,472246.0,2954915.0,3483135.0,7284280.0,3380399.0,2343655.0,260280.0,918985.0,1
108,2005,7898694.0,401558.0,2886076.0,4611060.0,7452057.0,4177845.0,2200133.0,277388.0,496778.0,1
109,2005,1431710.0,106513.0,894498.0,430699.0,1480157.0,761786.0,424220.0,62086.0,172879.0,1
110,2005,1109605.0,167922.0,0.0,941683.0,1085658.0,459063.0,450060.0,38671.0,134417.0,1
111,2005,23216404.0,2328513.0,9940813.0,10947078.0,23857012.0,11270907.0,6876508.0,1363005.0,3803764.0,2
112,2005,14724731.0,1375318.0,6449103.0,6900310.0,14492666.0,7886069.0,3954215.0,658022.0,1794894.0,2
113,2005,2274166.0,236973.0,1986615.0,50578.0,1765805.0,1007207.0,559178.0,137949.0,61471.0,1
114,2005,1796035.0,192039.0,1023550.0,580446.0,1819519.0,989703.0,531569.0,77321.0,181622.0,1
115,2005,21611180.0,1835598.0,7152163.0,12623419.0,22035569.0,11063949.0,6900767.0,755227.0,2137191.0,2
116,2005,11653165.0,708922.0,5224277.0,5719966.0,11071431.0,5343758.0,3228234.0,413599.0,982893.0,1
117,2005,4638125.0,363930.0,2051926.0,2222269.0,4599549.0,2323233.0,1301312.0,214893.0,538313.0,1
118,2005,4223632.0,356865.0,2360120.0,1506647.0,4076597.0,2174402.0,1257432.0,183824.0,308365.0,1
119,2005,5444309.0,646215.0,3121503.0,1676591.0,5750671.0,2864633.0,1660844.0,336579.0,741433.0,1
120,2005,5975074.0,844640.0,2787542.0,2342892.0,5941561.0,3264689.0,1854202.0,362965.0,350658.0,1
121,2005,2324789.0,197651.0,895595.0,1231543.0,2325138.0,1355800.0,620991.0,96318.0,128520.0,1
122,2005,9906219.0,670998.0,3729262.0,5505959.0,9782665.0,5154440.0,2934277.0,407619.0,947970.0,1
123,2005,12976279.0,761359.0,5434971.0,6779949.0,12726283.0,7203922.0,3750687.0,391078.0,803602.0,1
124,2005,19106382.0,1513264.0,10990030.0,6603088.0,20489512.0,9269314.0,6479470.0,841610.0,1937442.0,2
125,2005,8777363.0,529037.0,5912340.0,2335986.0,9082593.0,4637773.0,2157574.0,646632.0,937357.0,1
126,2005,3639643.0,552628.0,1958500.0,1128515.0,3610904.0,1935459.0,1096574.0,231190.0,281713.0,1
127,2005,8340865.0,694008.0,3640728.0,4006129.0,8170965.0,4224716.0,2452665.0,457530.0,708726.0,1
128,2005,1293070.0,191687.0,578321.0,523062.0,1268328.0,721019.0,412180.0,53055.0,59998.0,1
129,2005,2895640.0,295968.0,878576.0,1721096.0,2708776.0,1487488.0,751435.0,127968.0,264339.0,1
130,2005,3381646.0,251421.0,1996995.0,1133230.0,3483540.0,1665706.0,926213.0,115483.0,584219.0,1
131,2005,2332695.0,125956.0,878957.0,1327782.0,2333264.0,1261140.0,651058.0,65668.0,163780.0,1
