,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,G04_A_A_READING,G04_A_A_MATHEMATICS,G08_A_A_READING,G08_A_A_MATHEMATICS,score_clusters
252,2007,2905489.0,353571.0,1677212.0,874706.0,2983267.0,1608247.0,941055.0,189649.0,228873.0,215.0,236.0,255.0,270.0,0
253,2007,10154985.0,574090.0,5175386.0,4405509.0,9988878.0,5459295.0,3147269.0,420699.0,467948.0,223.0,244.0,264.0,286.0,0
254,2007,1477891.0,111051.0,722364.0,644476.0,1390344.0,661713.0,428613.0,42353.0,246698.0,225.0,244.0,266.0,287.0,0
306,2009,7186390.0,728795.0,4161103.0,2296492.0,7815467.0,3836398.0,2331552.0,561019.0,924956.0,216.0,228.0,255.0,269.0,0
307,2009,2158970.0,312667.0,1357747.0,488556.0,2396412.0,1129756.0,832783.0,70835.0,303165.0,211.0,237.0,259.0,283.0,0
308,2009,8802515.0,1044140.0,3806064.0,3952311.0,9580393.0,4296503.0,2983729.0,455403.0,1312659.0,210.0,230.0,258.0,277.0,0
309,2009,4753142.0,534510.0,3530487.0,688145.0,5017352.0,2417974.0,1492691.0,533057.0,409763.0,216.0,238.0,258.0,276.0,0
310,2009,73958896.0,9745250.0,40084244.0,24129402.0,74766086.0,35617964.0,21693675.0,3759373.0,8881265.0,210.0,232.0,253.0,270.0,1
311,2009,8310673.0,560538.0,3634018.0,4116117.0,8682489.0,4108304.0,2708535.0,330128.0,1035058.0,226.0,243.0,266.0,287.0,0
312,2009,9681268.0,403017.0,3606594.0,5671657.0,9323053.0,5054397.0,2805173.0,330685.0,763075.0,229.0,245.0,272.0,289.0,0
313,2009,1718993.0,109682.0,1047418.0,561893.0,1798244.0,877678.0,496383.0,80812.0,254460.0,226.0,239.0,265.0,284.0,0
314,2009,801008.0,75856.0,0.0,725152.0,805362.0,330698.0,370127.0,38514.0,66023.0,202.0,219.0,242.0,254.0,0
315,2009,26494500.0,2694566.0,9047586.0,14752348.0,28867429.0,13884278.0,8067350.0,1546420.0,4533913.0,226.0,242.0,264.0,279.0,2
316,2009,17972839.0,1644548.0,7739086.0,8589205.0,19025136.0,10063924.0,5135180.0,837062.0,2712073.0,218.0,236.0,260.0,278.0,2
317,2009,2689758.0,392837.0,2205032.0,91889.0,2318671.0,1402305.0,718309.0,129473.0,68584.0,211.0,236.0,255.0,274.0,0
318,2009,2182273.0,218777.0,1459554.0,503942.0,2078446.0,1157633.0,646213.0,100576.0,111190.0,221.0,241.0,265.0,287.0,0
